系数为都为1

da=2.75, Loss2=0.0270, LossMSE=3.2928, LossGram=2.7760,Loss_Full=6.1149, Time=0.2549
0110 00251 Loss1=0.0146, Lambda=2.75, Loss2=0.0265, LossMSE=2.9141, LossGram=3.6735,Loss_Full=6.6287, Time=0.2507
0110 00252 Loss1=0.0165, Lambda=2.75, Loss2=0.0267, LossMSE=3.2418, LossGram=3.1762,Loss_Full=6.4611, Time=0.2536
0110 00253 Loss1=0.0174, Lambda=2.75, Loss2=0.0268, LossMSE=3.4769, LossGram=2.6676,Loss_Full=6.1887, Time=0.2627
0110 00254 Loss1=0.0134, Lambda=2.75, Loss2=0.0262, LossMSE=2.7429, LossGram=3.4848,Loss_Full=6.2673, Time=0.2573
0110 00255 Loss1=0.0168, Lambda=2.75, Loss2=0.0265, LossMSE=3.3946, LossGram=3.0707,Loss_Full=6.5086, Time=0.2468
0110 00256 Loss1=0.0159, Lambda=2.75, Loss2=0.0266, LossMSE=3.0379, LossGram=3.3349,Loss_Full=6.4152, Time=0.2550
0110 00257 Loss1=0.0149, Lambda=2.75, Loss2=0.0264, LossMSE=3.3174, LossGram=3.0848,Loss_Full=6.4435, Time=0.2609
0110 00258 Loss1=0.0149, Lambda=2.75, Loss2=0.0264, LossMSE=3.1843, LossGram=3.3761,Loss_Full=6.6016, Time=0.2529
0110 00259 Loss1=0.0153, Lambda=2.75, Loss2=0.0263, LossMSE=3.0857, LossGram=3.4394,Loss_Full=6.5666, Time=0.2356
0110 00260 Loss1=0.0164, Lambda=2.75, Loss2=0.0263, LossMSE=3.0805, LossGram=2.8984,Loss_Full=6.0215, Time=0.2608
0110 00261 Loss1=0.0182, Lambda=2.75, Loss2=0.0264, LossMSE=2.9000, LossGram=3.2014,Loss_Full=6.1460, Time=0.2543
0110 00262 Loss1=0.0157, Lambda=2.75, Loss2=0.0263, LossMSE=3.0030, LossGram=3.2872,Loss_Full=6.3322, Time=0.2426
0110 00263 Loss1=0.0171, Lambda=2.75, Loss2=0.0261, LossMSE=2.9809, LossGram=2.8781,Loss_Full=5.9021, Time=0.2631
0110 00264 Loss1=0.0157, Lambda=2.75, Loss2=0.0261, LossMSE=2.7970, LossGram=2.9638,Loss_Full=5.8025, Time=0.2547
0110 00265 Loss1=0.0153, Lambda=2.75, Loss2=0.0266, LossMSE=3.1676, LossGram=3.4168,Loss_Full=6.6263, Time=0.2410
0110 00266 Loss1=0.0159, Lambda=2.75, Loss2=0.0263, LossMSE=2.8994, LossGram=3.0126,Loss_Full=5.9542, Time=0.2635
0110 00267 Loss1=0.0168, Lambda=2.75, Loss2=0.0266, LossMSE=3.2082, LossGram=3.0205,Loss_Full=6.2721, Time=0.2458
0110 00268 Loss1=0.0179, Lambda=2.75, Loss2=0.0265, LossMSE=3.0751, LossGram=2.9243,Loss_Full=6.0437, Time=0.2504
0110 00269 Loss1=0.0199, Lambda=2.75, Loss2=0.0271, LossMSE=3.3008, LossGram=2.6458,Loss_Full=5.9935, Time=0.2394
0110 00270 Loss1=0.0137, Lambda=2.75, Loss2=0.0267, LossMSE=3.1381, LossGram=3.5429,Loss_Full=6.7215, Time=0.2510
0110 00271 Loss1=0.0180, Lambda=2.75, Loss2=0.0269, LossMSE=3.2634, LossGram=2.9702,Loss_Full=6.2785, Time=0.2531
0110 00272 Loss1=0.0165, Lambda=2.75, Loss2=0.0264, LossMSE=2.9971, LossGram=2.8652,Loss_Full=5.9053, Time=0.2540
0110 00273 Loss1=0.0169, Lambda=2.75, Loss2=0.0270, LossMSE=3.4978, LossGram=3.2486,Loss_Full=6.7903, Time=0.2531
0110 00274 Loss1=0.0143, Lambda=2.75, Loss2=0.0266, LossMSE=3.2622, LossGram=3.2665,Loss_Full=6.5696, Time=0.2389
0110 00275 Loss1=0.0162, Lambda=2.75, Loss2=0.0267, LossMSE=3.5078, LossGram=3.0246,Loss_Full=6.5753, Time=0.2670
0110 00276 Loss1=0.0140, Lambda=2.75, Loss2=0.0266, LossMSE=3.1230, LossGram=3.4880,Loss_Full=6.6517, Time=0.2503
0110 00277 Loss1=0.0185, Lambda=2.75, Loss2=0.0267, LossMSE=3.4264, LossGram=2.6208,Loss_Full=6.0924, Time=0.2408
0110 00278 Loss1=0.0155, Lambda=2.75, Loss2=0.0265, LossMSE=3.0561, LossGram=3.1689,Loss_Full=6.2669, Time=0.2411
0110 00279 Loss1=0.0153, Lambda=2.75, Loss2=0.0264, LossMSE=3.2712, LossGram=3.1294,Loss_Full=6.4424, Time=0.2570
0110 00280 Loss1=0.0176, Lambda=2.75, Loss2=0.0267, LossMSE=3.0842, LossGram=3.1616,Loss_Full=6.2900, Time=0.2539
0110 00281 Loss1=0.0161, Lambda=2.75, Loss2=0.0266, LossMSE=3.1855, LossGram=3.2946,Loss_Full=6.5228, Time=0.2534
0110 00282 Loss1=0.0153, Lambda=2.75, Loss2=0.0265, LossMSE=3.1276, LossGram=3.2310,Loss_Full=6.4004, Time=0.2391
0110 00283 Loss1=0.0173, Lambda=2.75, Loss2=0.0267, LossMSE=3.3585, LossGram=3.0347,Loss_Full=6.4371, Time=0.2351
0110 00284 Loss1=0.0171, Lambda=2.75, Loss2=0.0265, LossMSE=3.1045, LossGram=2.8560,Loss_Full=6.0041, Time=0.2415
0110 00285 Loss1=0.0171, Lambda=2.75, Loss2=0.0266, LossMSE=3.0940, LossGram=2.7957,Loss_Full=5.9335, Time=0.2532
0110 00286 Loss1=0.0178, Lambda=2.75, Loss2=0.0267, LossMSE=3.4696, LossGram=2.9219,Loss_Full=6.4359, Time=0.2563
0110 00287 Loss1=0.0139, Lambda=2.75, Loss2=0.0263, LossMSE=2.7014, LossGram=3.4266,Loss_Full=6.1683, Time=0.2599
0110 00288 Loss1=0.0148, Lambda=2.75, Loss2=0.0265, LossMSE=2.8883, LossGram=3.3406,Loss_Full=6.2703, Time=0.2563
0110 00289 Loss1=0.0149, Lambda=2.75, Loss2=0.0264, LossMSE=2.9088, LossGram=3.2679,Loss_Full=6.2181, Time=0.2520
0110 00290 Loss1=0.0158, Lambda=2.75, Loss2=0.0266, LossMSE=3.4020, LossGram=3.0739,Loss_Full=6.5183, Time=0.2531
0110 00291 Loss1=0.0152, Lambda=2.75, Loss2=0.0263, LossMSE=2.6702, LossGram=3.3100,Loss_Full=6.0218, Time=0.2406
0110 00292 Loss1=0.0176, Lambda=2.75, Loss2=0.0267, LossMSE=3.2292, LossGram=2.8256,Loss_Full=6.0990, Time=0.2543
0110 00293 Loss1=0.0176, Lambda=2.75, Loss2=0.0268, LossMSE=3.2854, LossGram=3.1732,Loss_Full=6.5030, Time=0.2558
0110 00294 Loss1=0.0174, Lambda=2.75, Loss2=0.0266, LossMSE=3.2248, LossGram=2.9764,Loss_Full=6.2451, Time=0.2542
0110 00295 Loss1=0.0146, Lambda=2.75, Loss2=0.0265, LossMSE=2.9579, LossGram=3.4282,Loss_Full=6.4273, Time=0.2623
0110 00296 Loss1=0.0158, Lambda=2.75, Loss2=0.0267, LossMSE=3.1326, LossGram=3.3062,Loss_Full=6.4813, Time=0.2304
0110 00297 Loss1=0.0144, Lambda=2.75, Loss2=0.0262, LossMSE=2.8385, LossGram=3.4781,Loss_Full=6.3572, Time=0.2689
0110 00298 Loss1=0.0158, Lambda=2.75, Loss2=0.0264, LossMSE=3.2285, LossGram=3.1698,Loss_Full=6.4404, Time=0.2565
0110 00299 Loss1=0.0198, Lambda=2.75, Loss2=0.0264, LossMSE=3.0989, LossGram=2.5609,Loss_Full=5.7060, Time=0.2545
0110 00300 Loss1=0.0167, Lambda=2.75, Loss2=0.0265, LossMSE=3.3782, LossGram=2.7173,Loss_Full=6.1388, Time=0.2429
0110 00301 Loss1=0.0169, Lambda=2.75, Loss2=0.0261, LossMSE=2.9361, LossGram=3.0836,Loss_Full=6.0627, Time=0.2612
0110 00302 Loss1=0.0143, Lambda=2.75, Loss2=0.0263, LossMSE=3.0642, LossGram=3.1667,Loss_Full=6.2715, Time=0.2542
