lamda =0.03

 Loss2=0.0264, LossMSE=3.3003, LossGram=3.1036,Loss_Full=0.2374, Time=0.2520
0110 00251 Loss1=0.0155, Lambda=2.75, Loss2=0.0264, LossMSE=3.1578, LossGram=3.1695,Loss_Full=0.2318, Time=0.2493
0110 00252 Loss1=0.0172, Lambda=2.75, Loss2=0.0261, LossMSE=3.2866, LossGram=2.9520,Loss_Full=0.2305, Time=0.2414
0110 00253 Loss1=0.0141, Lambda=2.75, Loss2=0.0263, LossMSE=2.9666, LossGram=3.5704,Loss_Full=0.2365, Time=0.2539
0110 00254 Loss1=0.0139, Lambda=2.75, Loss2=0.0263, LossMSE=3.0399, LossGram=3.4539,Loss_Full=0.2351, Time=0.2556
0110 00255 Loss1=0.0172, Lambda=2.75, Loss2=0.0266, LossMSE=3.5083, LossGram=2.5381,Loss_Full=0.2252, Time=0.2491
0110 00256 Loss1=0.0151, Lambda=2.75, Loss2=0.0262, LossMSE=2.7059, LossGram=3.1934,Loss_Full=0.2183, Time=0.2356
0110 00257 Loss1=0.0153, Lambda=2.75, Loss2=0.0266, LossMSE=3.1853, LossGram=3.3011,Loss_Full=0.2365, Time=0.2613
0110 00258 Loss1=0.0174, Lambda=2.75, Loss2=0.0266, LossMSE=3.1982, LossGram=2.9184,Loss_Full=0.2274, Time=0.2607
0110 00259 Loss1=0.0157, Lambda=2.75, Loss2=0.0265, LossMSE=3.1658, LossGram=3.2803,Loss_Full=0.2355, Time=0.2477
0110 00260 Loss1=0.0165, Lambda=2.75, Loss2=0.0264, LossMSE=2.9516, LossGram=2.8657,Loss_Full=0.2175, Time=0.2454
0110 00261 Loss1=0.0152, Lambda=2.75, Loss2=0.0266, LossMSE=2.9913, LossGram=3.2774,Loss_Full=0.2298, Time=0.2541
0110 00262 Loss1=0.0157, Lambda=2.75, Loss2=0.0265, LossMSE=3.0529, LossGram=3.1768,Loss_Full=0.2290, Time=0.2538
0110 00263 Loss1=0.0159, Lambda=2.75, Loss2=0.0268, LossMSE=3.1744, LossGram=3.4169,Loss_Full=0.2404, Time=0.2343
0110 00264 Loss1=0.0150, Lambda=2.75, Loss2=0.0270, LossMSE=3.0223, LossGram=3.8605,Loss_Full=0.2484, Time=0.2546
0110 00265 Loss1=0.0166, Lambda=2.75, Loss2=0.0269, LossMSE=3.2117, LossGram=3.6875,Loss_Full=0.2505, Time=0.2520
0110 00266 Loss1=0.0153, Lambda=2.75, Loss2=0.0264, LossMSE=2.8955, LossGram=3.4264,Loss_Full=0.2313, Time=0.2579
0110 00267 Loss1=0.0168, Lambda=2.75, Loss2=0.0269, LossMSE=3.2720, LossGram=3.2088,Loss_Full=0.2382, Time=0.2556
0110 00268 Loss1=0.0166, Lambda=2.75, Loss2=0.0266, LossMSE=3.3803, LossGram=3.2445,Loss_Full=0.2419, Time=0.2506
0110 00269 Loss1=0.0179, Lambda=2.75, Loss2=0.0270, LossMSE=3.3152, LossGram=3.0411,Loss_Full=0.2356, Time=0.2526
0110 00270 Loss1=0.0150, Lambda=2.75, Loss2=0.0267, LossMSE=3.0738, LossGram=3.6668,Loss_Full=0.2439, Time=0.2367
0110 00271 Loss1=0.0143, Lambda=2.75, Loss2=0.0266, LossMSE=2.9877, LossGram=3.6480,Loss_Full=0.2399, Time=0.2533
0110 00272 Loss1=0.0163, Lambda=2.75, Loss2=0.0268, LossMSE=3.3821, LossGram=3.2133,Loss_Full=0.2410, Time=0.2531
0110 00273 Loss1=0.0183, Lambda=2.75, Loss2=0.0268, LossMSE=3.0462, LossGram=2.9351,Loss_Full=0.2245, Time=0.2642
0110 00274 Loss1=0.0162, Lambda=2.75, Loss2=0.0265, LossMSE=2.9740, LossGram=2.9543,Loss_Full=0.2205, Time=0.2375
0110 00275 Loss1=0.0141, Lambda=2.75, Loss2=0.0263, LossMSE=3.0033, LossGram=3.1935,Loss_Full=0.2263, Time=0.2395
0110 00276 Loss1=0.0169, Lambda=2.75, Loss2=0.0265, LossMSE=3.1893, LossGram=2.7261,Loss_Full=0.2208, Time=0.2602
0110 00277 Loss1=0.0158, Lambda=2.75, Loss2=0.0267, LossMSE=3.2159, LossGram=3.0587,Loss_Full=0.2308, Time=0.2431
0110 00278 Loss1=0.0173, Lambda=2.75, Loss2=0.0263, LossMSE=3.1199, LossGram=3.1400,Loss_Full=0.2313, Time=0.2537
0110 00279 Loss1=0.0172, Lambda=2.75, Loss2=0.0263, LossMSE=2.6965, LossGram=3.2234,Loss_Full=0.2211, Time=0.2434
0110 00280 Loss1=0.0161, Lambda=2.75, Loss2=0.0268, LossMSE=3.2588, LossGram=3.1883,Loss_Full=0.2363, Time=0.2558
0110 00281 Loss1=0.0156, Lambda=2.75, Loss2=0.0269, LossMSE=3.3600, LossGram=3.0914,Loss_Full=0.2361, Time=0.2406
0110 00282 Loss1=0.0193, Lambda=2.75, Loss2=0.0267, LossMSE=3.1640, LossGram=2.9349,Loss_Full=0.2290, Time=0.2410
0110 00283 Loss1=0.0150, Lambda=2.75, Loss2=0.0269, LossMSE=3.1008, LossGram=3.5169,Loss_Full=0.2404, Time=0.2518
0110 00284 Loss1=0.0156, Lambda=2.75, Loss2=0.0267, LossMSE=3.4554, LossGram=3.1465,Loss_Full=0.2403, Time=0.2389
0110 00285 Loss1=0.0154, Lambda=2.75, Loss2=0.0267, LossMSE=3.1134, LossGram=3.3370,Loss_Full=0.2356, Time=0.2557
0110 00286 Loss1=0.0157, Lambda=2.75, Loss2=0.0265, LossMSE=3.0354, LossGram=3.2686,Loss_Full=0.2314, Time=0.2416
0110 00287 Loss1=0.0179, Lambda=2.75, Loss2=0.0265, LossMSE=3.2822, LossGram=2.6065,Loss_Full=0.2210, Time=0.2555
0110 00288 Loss1=0.0196, Lambda=2.75, Loss2=0.0271, LossMSE=3.5776, LossGram=2.6895,Loss_Full=0.2347, Time=0.2547
0110 00289 Loss1=0.0160, Lambda=2.75, Loss2=0.0266, LossMSE=3.0873, LossGram=3.2177,Loss_Full=0.2317, Time=0.2406
0110 00290 Loss1=0.0177, Lambda=2.75, Loss2=0.0266, LossMSE=2.9025, LossGram=3.1674,Loss_Full=0.2264, Time=0.2347
0110 00291 Loss1=0.0162, Lambda=2.75, Loss2=0.0262, LossMSE=2.8076, LossGram=3.3340,Loss_Full=0.2267, Time=0.2431
0110 00292 Loss1=0.0170, Lambda=2.75, Loss2=0.0268, LossMSE=3.3331, LossGram=3.0368,Loss_Full=0.2349, Time=0.2402
0110 00293 Loss1=0.0158, Lambda=2.75, Loss2=0.0265, LossMSE=3.1343, LossGram=3.4276,Loss_Full=0.2392, Time=0.2548
0110 00294 Loss1=0.0174, Lambda=2.75, Loss2=0.0267, LossMSE=2.9749, LossGram=3.0031,Loss_Full=0.2235, Time=0.2406
0110 00295 Loss1=0.0169, Lambda=2.75, Loss2=0.0265, LossMSE=3.1844, LossGram=2.9486,Loss_Full=0.2275, Time=0.2390
0110 00296 Loss1=0.0173, Lambda=2.75, Loss2=0.0262, LossMSE=2.9896, LossGram=2.8637,Loss_Full=0.2191, Time=0.2531
0110 00297 Loss1=0.0157, Lambda=2.75, Loss2=0.0265, LossMSE=3.0877, LossGram=3.2563,Loss_Full=0.2325, Time=0.2408
0110 00298 Loss1=0.0172, Lambda=2.75, Loss2=0.0268, LossMSE=3.3089, LossGram=2.8831,Loss_Full=0.2297, Time=0.2400
0110 00299 Loss1=0.0155, Lambda=2.75, Loss2=0.0268, LossMSE=3.4828, LossGram=3.1693,Loss_Full=0.2419, Time=0.2552
0110 00300 Loss1=0.0166, Lambda=2.75, Loss2=0.0267, LossMSE=3.3120, LossGram=3.3359,Loss_Full=0.2427, Time=0.2508
0110 00301 Loss1=0.0156, Lambda=2.75, Loss2=0.0266, LossMSE=2.9165, LossGram=3.4898,Loss_Full=0.2343, Time=0.2397
0110 00302 Loss1=0.0154, Lambda=2.75, Loss2=0.0266, LossMSE=3.0701, LossGram=3.5278,Loss_Full=0.2399, Time=0.2536
0110 00303 Loss1=0.0155, Lambda=2.75, Loss2=0.0266, LossMSE=3.3842, LossGram=3.3108,Loss_Full=0.2430, Time=0.2531
0110 00304 Loss1=0.0158, Lambda=2.75, Loss2=0.0266, LossMSE=3.3170, LossGram=2.9262,Loss_Full=0.2297, Time=0.2382
0110 00305 Loss1=0.0151, Lambda=2.75, Loss2=0.0268, LossMSE=3.1443, LossGram=3.3869,Loss_Full=0.2378, Time=0.2573
0110 00306 Loss1=0.0180, Lambda=2.75, Loss2=0.0267, LossMSE=3.3276, LossGram=2.9945,Loss_Full=0.2344, Time=0.2324
0110 00307 Loss1=0.0155, Lambda=2.75, Loss2=0.0262, LossMSE=2.8617, LossGram=3.3908,Loss_Full=0.2293, Time=0.2439
0110 00308 Loss1=0.0168, Lambda=2.75, Loss2=0.0268, LossMSE=3.1817, LossGram=3.2840,Loss_Full=0.2375, Time=0.2452
0110 00309 Loss1=0.0148, Lambda=2.75, Loss2=0.0265, LossMSE=3.0110, LossGram=2.9940,Loss_Full=0.2215, Time=0.2536
0110 00310 Loss1=0.0148, Lambda=2.75, Loss2=0.0265, LossMSE=3.1017, LossGram=3.3854,Loss_Full=0.2359, Time=0.2492
0110 00311 Loss1=0.0194, Lambda=2.75, Loss2=0.0266, LossMSE=3.2026, LossGram=2.7860,Loss_Full=0.2256, Time=0.2536
0110 00312 Loss1=0.0158, Lambda=2.75, Loss2=0.0266, LossMSE=3.2638, LossGram=2.8131,Loss_Full=0.2247, Time=0.2600
0110 00313 Loss1=0.0159, Lambda=2.75, Loss2=0.0264, LossMSE=3.1480, LossGram=3.0902,Loss_Full=0.2294, Time=0.2612
0110 00314 Loss1=0.0161, Lambda=2.75, Loss2=0.0266, LossMSE=3.4199, LossGram=2.9777,Loss_Full=0.2346, Time=0.2628
0110 00315 Loss1=0.0157, Lambda=2.75, Loss2=0.0266, LossMSE=2.9826, LossGram=3.0705,Loss_Full=0.2239, Time=0.2434
0110 00316 Loss1=0.0171, Lambda=2.75, Loss2=0.0264, LossMSE=2.8366, LossGram=3.1821,Loss_Full=0.2240, Time=0.2322
0110 00317 Loss1=0.0171, Lambda=2.75, Loss2=0.0268, LossMSE=3.3599, LossGram=3.0195,Loss_Full=0.2353, Time=0.2580
0110 00318 Loss1=0.0150, Lambda=2.75, Loss2=0.0267, LossMSE=3.3666, LossGram=3.4471,Loss_Full=0.2462, Time=0.2509
0110 00319 Loss1=0.0148, Lambda=2.75, Loss2=0.0266, LossMSE=2.8913, LossGram=3.6335,Loss_Full=0.2371, Time=0.2448
0110 00320 Loss1=0.0143, Lambda=2.75, Loss2=0.0267, LossMSE=3.0161, LossGram=3.6169,Loss_Full=0.2400, Time=0.2399
0110 00321 Loss1=0.0214, Lambda=2.75, Loss2=0.0272, LossMSE=3.2262, LossGram=2.9609,Loss_Full=0.2342, Time=0.2394
0110 00322 Loss1=0.0153, Lambda=2.75, Loss2=0.0268, LossMSE=3.2503, LossGram=3.6188,Loss_Full=0.2481, Time=0.2571
0110 00323 Loss1=0.0151, Lambda=2.75, Loss2=0.0264, LossMSE=3.1236, LossGram=3.2880,Loss_Full=0.2338, Time=0.2535
0110 00324 Loss1=0.0163, Lambda=2.75, Loss2=0.0266, LossMSE=3.2923, LossGram=2.8008,Loss_Full=0.2256, Time=0.2470
0110 00325 Loss1=0.0152, Lambda=2.75, Loss2=0.0266, LossMSE=3.1374, LossGram=3.3826,Loss_Full=0.2373, Time=0.2410
0110 00326 Loss1=0.0151, Lambda=2.75, Loss2=0.0264, LossMSE=2.9315, LossGram=3.3496,Loss_Full=0.2299, Time=0.2396
0110 00327 Loss1=0.0157, Lambda=2.75, Loss2=0.0264, LossMSE=2.9799, LossGram=3.1268,Loss_Full=0.2253, Time=0.2517
0110 00328 Loss1=0.0169, Lambda=2.75, Loss2=0.0266, LossMSE=3.3148, LossGram=2.7439,Loss_Full=0.2253, Time=0.2553
0110 00329 Loss1=0.0173, Lambda=2.75, Loss2=0.0265, LossMSE=3.2290, LossGram=3.1002,Loss_Full=0.2336, Time=0.2631
0110 00330 Loss1=0.0177, Lambda=2.75, Loss2=0.0268, LossMSE=3.6173, LossGram=2.7663,Loss_Full=0.2360, Time=0.2535
0110 00331 Loss1=0.0147, Lambda=2.75, Loss2=0.0264, LossMSE=2.9091, LossGram=3.5832,Loss_Full=0.2358, Time=0.2543
0110 00332 Loss1=0.0187, Lambda=2.75, Loss2=0.0265, LossMSE=3.2836, LossGram=2.5737,Loss_Full=0.2210, Time=0.2549
0110 00333 Loss1=0.0162, Lambda=2.75, Loss2=0.0264, LossMSE=2.9240, LossGram=3.3512,Loss_Full=0.2309, Time=0.2401
0110 00334 Loss1=0.0145, Lambda=2.75, Loss2=0.0266, LossMSE=2.9497, LossGram=3.4694,Loss_Full=0.2337, Time=0.2636
0110 00335 Loss1=0.0173, Lambda=2.75, Loss2=0.0267, LossMSE=3.4007, LossGram=3.0355,Loss_Full=0.2371, Time=0.2423
0110 00336 Loss1=0.0156, Lambda=2.75, Loss2=0.0263, LossMSE=3.0526, LossGram=3.2962,Loss_Full=0.2324, Time=0.2392
0110 00337 Loss1=0.0152, Lambda=2.75, Loss2=0.0267, LossMSE=3.2000, LossGram=3.3640,Loss_Full=0.2388, Time=0.2429
0110 00338 Loss1=0.0169, Lambda=2.75, Loss2=0.0268, LossMSE=3.3065, LossGram=3.0745,Loss_Full=0.2351, Time=0.2405
0110 00339 Loss1=0.0143, Lambda=2.75, Loss2=0.0265, LossMSE=3.1256, LossGram=3.5780,Loss_Full=0.2419, Time=0.2397
0110 00340 Loss1=0.0160, Lambda=2.75, Loss2=0.0267, LossMSE=3.7118, LossGram=2.9655,Loss_Full=0.2431, Time=0.2535
0110 00341 Loss1=0.0151, Lambda=2.75, Loss2=0.0267, LossMSE=2.9351, LossGram=3.4674,Loss_Full=0.2338, Time=0.2394
0110 00342 Loss1=0.0155, Lambda=2.75, Loss2=0.0263, LossMSE=3.2572, LossGram=2.9755,Loss_Full=0.2288, Time=0.2409
0110 00343 Loss1=0.0138, Lambda=2.75, Loss2=0.0265, LossMSE=2.9754, LossGram=3.5445,Loss_Full=0.2359, Time=0.2542
0110 00344 Loss1=0.0166, Lambda=2.75, Loss2=0.0263, LossMSE=3.0680, LossGram=3.0199,Loss_Full=0.2255, Time=0.2533
0110 00345 Loss1=0.0141, Lambda=2.75, Loss2=0.0266, LossMSE=2.8817, LossGram=3.6497,Loss_Full=0.2366, Time=0.2427
0110 00346 Loss1=0.0166, Lambda=2.75, Loss2=0.0263, LossMSE=2.8949, LossGram=3.1947,Loss_Full=0.2256, Time=0.2394
0110 00347 Loss1=0.0147, Lambda=2.75, Loss2=0.0265, LossMSE=3.2762, LossGram=3.1996,Loss_Full=0.2355, Time=0.2396
0110 00348 Loss1=0.0187, Lambda=2.75, Loss2=0.0268, LossMSE=3.4077, LossGram=2.4667,Loss_Full=0.2217, Time=0.2523
0110 00349 Loss1=0.0208, Lambda=2.75, Loss2=0.0265, LossMSE=2.8821, LossGram=2.8130,Loss_Full=0.2182, Time=0.2538
0110 00350 Loss1=0.0170, Lambda=2.75, Loss2=0.0266, LossMSE=3.4859, LossGram=3.0033,Loss_Full=0.2383, Time=0.2633
0110 00351 Loss1=0.0177, Lambda=2.75, Loss2=0.0266, LossMSE=3.3210, LossGram=2.8018,Loss_Full=0.2280, Time=0.2483
0110 00352 Loss1=0.0159, Lambda=2.75, Loss2=0.0264, LossMSE=3.0242, LossGram=2.8643,Loss_Full=0.2190, Time=0.2503
0110 00353 Loss1=0.0177, Lambda=2.75, Loss2=0.0282, LossMSE=3.3723, LossGram=3.4243,Loss_Full=0.2498, Time=0.2635
0110 00354 Loss1=0.0178, Lambda=2.75, Loss2=0.0271, LossMSE=3.2348, LossGram=3.0178,Loss_Full=0.2325, Time=0.2416
0110 00355 Loss1=0.0166, Lambda=2.75, Loss2=0.0267, LossMSE=2.9250, LossGram=3.3553,Loss_Full=0.2318, Time=0.2550
0110 00356 Loss1=0.0164, Lambda=2.75, Loss2=0.0263, LossMSE=3.2240, LossGram=3.0819,Loss_Full=0.2319, Time=0.2445
0110 00357 Loss1=0.0174, Lambda=2.75, Loss2=0.0268, LossMSE=3.0824, LossGram=3.3235,Loss_Full=0.2364, Time=0.2403
0110 00358 Loss1=0.0165, Lambda=2.75, Loss2=0.0266, LossMSE=3.0219, LossGram=3.3748,Loss_Full=0.2351, Time=0.2570
0110 00359 Loss1=0.0153, Lambda=2.75, Loss2=0.0266, LossMSE=3.0954, LossGram=3.5644,Loss_Full=0.2417, Time=0.2523
0110 00360 Loss1=0.0155, Lambda=2.75, Loss2=0.0267, LossMSE=3.4437, LossGram=3.2299,Loss_Full=0.2424, Time=0.2410
0110 00361 Loss1=0.0157, Lambda=2.75, Loss2=0.0262, LossMSE=2.9288, LossGram=3.1491,Loss_Full=0.2243, Time=0.2396
0110 00362 Loss1=0.0181, Lambda=2.75, Loss2=0.0267, LossMSE=2.9787, LossGram=3.2450,Loss_Full=0.2316, Time=0.2666
0110 00363 Loss1=0.0186, Lambda=2.75, Loss2=0.0266, LossMSE=3.2709, LossGram=2.8010,Loss_Full=0.2273, Time=0.2412
0110 00364 Loss1=0.0152, Lambda=2.75, Loss2=0.0265, LossMSE=3.3742, LossGram=3.1467,Loss_Full=0.2373, Time=0.2442
0110 00365 Loss1=0.0158, Lambda=2.75, Loss2=0.0264, LossMSE=2.9235, LossGram=3.1473,Loss_Full=0.2243, Time=0.2539
0110 00366 Loss1=0.0147, Lambda=2.75, Loss2=0.0263, LossMSE=2.9695, LossGram=3.0592,Loss_Full=0.2218, Time=0.2636
0110 00367 Loss1=0.0172, Lambda=2.75, Loss2=0.0263, LossMSE=3.5790, LossGram=2.3429,Loss_Full=0.2211, Time=0.2572
0110 00368 Loss1=0.0160, Lambda=2.75, Loss2=0.0263, LossMSE=3.2488, LossGram=2.9033,Loss_Full=0.2269, Time=0.2524
0110 00369 Loss1=0.0143, Lambda=2.75, Loss2=0.0260, LossMSE=2.9461, LossGram=2.9105,Loss_Full=0.2160, Time=0.2538
0110 00370 Loss1=0.0150, Lambda=2.75, Loss2=0.0260, LossMSE=3.0072, LossGram=2.9067,Loss_Full=0.2184, Time=0.2401
0110 00371 Loss1=0.0143, Lambda=2.75, Loss2=0.0261, LossMSE=2.5401, LossGram=3.2970,Loss_Full=0.2155, Time=0.2587
0110 00372 Loss1=0.0166, Lambda=2.75, Loss2=0.0264, LossMSE=3.4020, LossGram=2.5050,Loss_Full=0.2202, Time=0.2548
0110 00373 Loss1=0.0169, Lambda=2.75, Loss2=0.0259, LossMSE=2.9175, LossGram=2.4956,Loss_Full=0.2052, Time=0.2527
0110 00374 Loss1=0.0156, Lambda=2.75, Loss2=0.0268, LossMSE=3.4033, LossGram=3.0174,Loss_Full=0.2350, Time=0.2514
0110 00375 Loss1=0.0164, Lambda=2.75, Loss2=0.0270, LossMSE=3.5313, LossGram=3.0446,Loss_Full=0.2406, Time=0.2537
0110 00376 Loss1=0.0153, Lambda=2.75, Loss2=0.0269, LossMSE=2.9695, LossGram=3.5652,Loss_Full=0.2382, Time=0.2393
0110 00377 Loss1=0.0138, Lambda=2.75, Loss2=0.0266, LossMSE=2.6827, LossGram=3.8694,Loss_Full=0.2370, Time=0.2533
0110 00378 Loss1=0.0145, Lambda=2.75, Loss2=0.0268, LossMSE=3.3201, LossGram=3.5785,Loss_Full=0.2482, Time=0.2529
0110 00379 Loss1=0.0169, Lambda=2.75, Loss2=0.0270, LossMSE=3.3815, LossGram=3.3422,Loss_Full=0.2456, Time=0.2454
0110 00380 Loss1=0.0142, Lambda=2.75, Loss2=0.0267, LossMSE=3.2074, LossGram=3.7464,Loss_Full=0.2495, Time=0.2457
0110 00381 Loss1=0.0171, Lambda=2.75, Loss2=0.0268, LossMSE=3.0200, LossGram=3.3804,Loss_Full=0.2359, Time=0.2419
0110 00382 Loss1=0.0177, Lambda=2.75, Loss2=0.0269, LossMSE=3.6345, LossGram=2.8302,Loss_Full=0.2385, Time=0.2544
0110 00383 Loss1=0.0154, Lambda=2.75, Loss2=0.0267, LossMSE=3.1321, LossGram=3.4225,Loss_Full=0.2388, Time=0.2528
0110 00384 Loss1=0.0155, Lambda=2.75, Loss2=0.0267, LossMSE=3.2750, LossGram=3.4035,Loss_Full=0.2426, Time=0.2564
0110 00385 Loss1=0.0155, Lambda=2.75, Loss2=0.0268, LossMSE=3.4514, LossGram=3.1122,Loss_Full=0.2391, Time=0.2528
0110 00386 Loss1=0.0163, Lambda=2.75, Loss2=0.0263, LossMSE=3.2214, LossGram=2.7186,Loss_Full=0.2207, Time=0.2532
0110 00387 Loss1=0.0173, Lambda=2.75, Loss2=0.0260, LossMSE=3.1182, LossGram=2.9174,Loss_Full=0.2243, Time=0.2402
0110 00388 Loss1=0.0180, Lambda=2.75, Loss2=0.0264, LossMSE=3.2875, LossGram=2.5206,Loss_Full=0.2187, Time=0.2388
0110 00389 Loss1=0.0185, Lambda=2.75, Loss2=0.0263, LossMSE=3.1112, LossGram=2.7715,Loss_Full=0.2213, Time=0.2505
0110 00390 Loss1=0.0154, Lambda=2.75, Loss2=0.0261, LossMSE=2.7992, LossGram=3.1497,Loss_Full=0.2199, Time=0.2552
0110 00391 Loss1=0.0162, Lambda=2.75, Loss2=0.0263, LossMSE=3.1999, LossGram=2.8374,Loss_Full=0.2236, Time=0.2448
0110 00392 Loss1=0.0166, Lambda=2.75, Loss2=0.0262, LossMSE=3.2834, LossGram=2.8332,Loss_Full=0.2263, Time=0.2577
0110 00393 Loss1=0.0176, Lambda=2.75, Loss2=0.0260, LossMSE=3.1583, LossGram=2.6845,Loss_Full=0.2189, Time=0.2531
0110 00394 Loss1=0.0171, Lambda=2.75, Loss2=0.0265, LossMSE=3.1859, LossGram=2.9431,Loss_Full=0.2276, Time=0.2424
0110 00395 Loss1=0.0173, Lambda=2.75, Loss2=0.0265, LossMSE=3.2772, LossGram=2.7865,Loss_Full=0.2257, Time=0.2557
0110 00396 Loss1=0.0181, Lambda=2.75, Loss2=0.0267, LossMSE=3.3724, LossGram=3.3229,Loss_Full=0.2456, Time=0.2413
0110 00397 Loss1=0.0192, Lambda=2.75, Loss2=0.0268, LossMSE=3.5951, LossGram=2.2623,Loss_Full=0.2217, Time=0.2536
0110 00398 Loss1=0.0158, Lambda=2.75, Loss2=0.0267, LossMSE=3.0574, LossGram=3.3128,Loss_Full=0.2336, Time=0.2544
0110 00399 Loss1=0.0157, Lambda=2.75, Loss2=0.0267, LossMSE=3.3614, LossGram=3.1179,Loss_Full=0.2368, Time=0.2570
0110 00400 Loss1=0.0158, Lambda=2.75, Loss2=0.0263, LossMSE=3.1468, LossGram=3.1216,Loss_Full=0.2302, Time=0.2565
