
lambda=0.05

 Loss2=0.0266, LossMSE=3.5090, LossGram=2.8430,Loss_Full=0.3604, Time=0.2526
0110 00251 Loss1=0.0181, Lambda=2.75, Loss2=0.0268, LossMSE=3.2991, LossGram=3.0180,Loss_Full=0.3607, Time=0.2650
0110 00252 Loss1=0.0154, Lambda=2.75, Loss2=0.0268, LossMSE=3.3238, LossGram=3.5474,Loss_Full=0.3858, Time=0.2507
0110 00253 Loss1=0.0161, Lambda=2.75, Loss2=0.0267, LossMSE=3.0799, LossGram=3.2778,Loss_Full=0.3607, Time=0.2404
0110 00254 Loss1=0.0180, Lambda=2.75, Loss2=0.0269, LossMSE=3.2136, LossGram=2.9835,Loss_Full=0.3548, Time=0.2230
0110 00255 Loss1=0.0149, Lambda=2.75, Loss2=0.0266, LossMSE=2.9992, LossGram=3.3537,Loss_Full=0.3592, Time=0.2573
0110 00256 Loss1=0.0165, Lambda=2.75, Loss2=0.0269, LossMSE=3.4234, LossGram=3.1984,Loss_Full=0.3745, Time=0.2547
0110 00257 Loss1=0.0152, Lambda=2.75, Loss2=0.0266, LossMSE=3.1244, LossGram=3.7590,Loss_Full=0.3860, Time=0.2594
0110 00258 Loss1=0.0152, Lambda=2.75, Loss2=0.0266, LossMSE=3.2036, LossGram=3.6325,Loss_Full=0.3836, Time=0.2421
0110 00259 Loss1=0.0157, Lambda=2.75, Loss2=0.0266, LossMSE=3.0652, LossGram=3.4040,Loss_Full=0.3658, Time=0.2571
0110 00260 Loss1=0.0185, Lambda=2.75, Loss2=0.0268, LossMSE=3.3379, LossGram=2.5933,Loss_Full=0.3419, Time=0.2586
0110 00261 Loss1=0.0163, Lambda=2.75, Loss2=0.0266, LossMSE=3.1580, LossGram=3.1204,Loss_Full=0.3568, Time=0.2533
0110 00262 Loss1=0.0165, Lambda=2.75, Loss2=0.0266, LossMSE=3.1077, LossGram=3.2324,Loss_Full=0.3600, Time=0.2362
0110 00263 Loss1=0.0138, Lambda=2.75, Loss2=0.0265, LossMSE=2.9602, LossGram=3.5809,Loss_Full=0.3673, Time=0.2522
0110 00264 Loss1=0.0160, Lambda=2.75, Loss2=0.0269, LossMSE=3.1710, LossGram=3.2425,Loss_Full=0.3635, Time=0.2411
0110 00265 Loss1=0.0144, Lambda=2.75, Loss2=0.0265, LossMSE=2.9561, LossGram=3.4432,Loss_Full=0.3608, Time=0.2543
0110 00266 Loss1=0.0171, Lambda=2.75, Loss2=0.0262, LossMSE=3.2210, LossGram=2.8878,Loss_Full=0.3487, Time=0.2616
0110 00267 Loss1=0.0169, Lambda=2.75, Loss2=0.0267, LossMSE=3.1652, LossGram=2.9295,Loss_Full=0.3483, Time=0.2416
0110 00268 Loss1=0.0156, Lambda=2.75, Loss2=0.0265, LossMSE=2.9754, LossGram=3.2309,Loss_Full=0.3524, Time=0.2411
0110 00269 Loss1=0.0152, Lambda=2.75, Loss2=0.0264, LossMSE=2.8471, LossGram=3.4795,Loss_Full=0.3580, Time=0.2550
0110 00270 Loss1=0.0133, Lambda=2.75, Loss2=0.0266, LossMSE=2.9029, LossGram=3.7596,Loss_Full=0.3730, Time=0.2369
0110 00271 Loss1=0.0169, Lambda=2.75, Loss2=0.0267, LossMSE=3.0749, LossGram=2.8670,Loss_Full=0.3407, Time=0.2424
0110 00272 Loss1=0.0174, Lambda=2.75, Loss2=0.0266, LossMSE=3.2620, LossGram=2.9763,Loss_Full=0.3559, Time=0.2541
0110 00273 Loss1=0.0179, Lambda=2.75, Loss2=0.0268, LossMSE=3.1833, LossGram=2.7005,Loss_Full=0.3389, Time=0.2406
0110 00274 Loss1=0.0148, Lambda=2.75, Loss2=0.0266, LossMSE=3.1615, LossGram=3.0871,Loss_Full=0.3539, Time=0.2514
0110 00275 Loss1=0.0162, Lambda=2.75, Loss2=0.0266, LossMSE=3.4454, LossGram=2.8556,Loss_Full=0.3578, Time=0.2422
0110 00276 Loss1=0.0155, Lambda=2.75, Loss2=0.0264, LossMSE=2.9145, LossGram=3.1653,Loss_Full=0.3459, Time=0.2421
0110 00277 Loss1=0.0160, Lambda=2.75, Loss2=0.0265, LossMSE=3.0785, LossGram=3.2009,Loss_Full=0.3564, Time=0.2558
0110 00278 Loss1=0.0155, Lambda=2.75, Loss2=0.0264, LossMSE=2.9536, LossGram=3.3654,Loss_Full=0.3579, Time=0.2441
0110 00279 Loss1=0.0173, Lambda=2.75, Loss2=0.0270, LossMSE=3.4523, LossGram=3.0324,Loss_Full=0.3686, Time=0.2415
0110 00280 Loss1=0.0162, Lambda=2.75, Loss2=0.0264, LossMSE=2.8472, LossGram=3.4185,Loss_Full=0.3559, Time=0.2645
0110 00281 Loss1=0.0153, Lambda=2.75, Loss2=0.0268, LossMSE=2.8724, LossGram=3.5721,Loss_Full=0.3643, Time=0.2443
0110 00282 Loss1=0.0161, Lambda=2.75, Loss2=0.0268, LossMSE=3.3716, LossGram=3.2605,Loss_Full=0.3745, Time=0.2404
0110 00283 Loss1=0.0167, Lambda=2.75, Loss2=0.0263, LossMSE=2.7356, LossGram=3.0976,Loss_Full=0.3346, Time=0.2535
0110 00284 Loss1=0.0165, Lambda=2.75, Loss2=0.0266, LossMSE=3.1489, LossGram=3.0073,Loss_Full=0.3509, Time=0.2374
0110 00285 Loss1=0.0162, Lambda=2.75, Loss2=0.0265, LossMSE=3.2883, LossGram=2.8927,Loss_Full=0.3518, Time=0.2435
0110 00286 Loss1=0.0172, Lambda=2.75, Loss2=0.0267, LossMSE=3.3112, LossGram=2.9818,Loss_Full=0.3586, Time=0.2370
0110 00287 Loss1=0.0170, Lambda=2.75, Loss2=0.0265, LossMSE=3.0745, LossGram=2.8873,Loss_Full=0.3416, Time=0.2545
0110 00288 Loss1=0.0158, Lambda=2.75, Loss2=0.0267, LossMSE=3.0007, LossGram=3.3606,Loss_Full=0.3606, Time=0.2391
0110 00289 Loss1=0.0168, Lambda=2.75, Loss2=0.0266, LossMSE=3.3430, LossGram=3.1182,Loss_Full=0.3665, Time=0.2392
0110 00290 Loss1=0.0182, Lambda=2.75, Loss2=0.0265, LossMSE=2.8917, LossGram=3.2596,Loss_Full=0.3522, Time=0.2329
0110 00291 Loss1=0.0177, Lambda=2.75, Loss2=0.0266, LossMSE=3.1043, LossGram=3.2412,Loss_Full=0.3616, Time=0.2581
0110 00292 Loss1=0.0174, Lambda=2.75, Loss2=0.0264, LossMSE=3.0253, LossGram=3.1034,Loss_Full=0.3503, Time=0.2488
0110 00293 Loss1=0.0143, Lambda=2.75, Loss2=0.0266, LossMSE=2.9552, LossGram=3.5854,Loss_Full=0.3680, Time=0.2538
0110 00294 Loss1=0.0156, Lambda=2.75, Loss2=0.0270, LossMSE=3.4474, LossGram=3.2075,Loss_Full=0.3754, Time=0.2405
0110 00295 Loss1=0.0165, Lambda=2.75, Loss2=0.0265, LossMSE=2.7468, LossGram=3.3137,Loss_Full=0.3460, Time=0.2544
0110 00296 Loss1=0.0183, Lambda=2.75, Loss2=0.0271, LossMSE=3.5178, LossGram=2.9790,Loss_Full=0.3702, Time=0.2407
0110 00297 Loss1=0.0152, Lambda=2.75, Loss2=0.0270, LossMSE=3.5274, LossGram=3.7559,Loss_Full=0.4063, Time=0.2554
0110 00298 Loss1=0.0147, Lambda=2.75, Loss2=0.0266, LossMSE=2.6638, LossGram=3.5981,Loss_Full=0.3544, Time=0.2468
0110 00299 Loss1=0.0148, Lambda=2.75, Loss2=0.0267, LossMSE=3.0949, LossGram=3.3611,Loss_Full=0.3643, Time=0.2483
0110 00300 Loss1=0.0196, Lambda=2.75, Loss2=0.0268, LossMSE=3.3505, LossGram=2.6088,Loss_Full=0.3444, Time=0.2569
0110 00301 Loss1=0.0146, Lambda=2.75, Loss2=0.0265, LossMSE=3.1596, LossGram=3.4663,Loss_Full=0.3724, Time=0.2417
0110 00302 Loss1=0.0156, Lambda=2.75, Loss2=0.0267, LossMSE=2.8910, LossGram=3.4285,Loss_Full=0.3583, Time=0.2520
0110 00303 Loss1=0.0154, Lambda=2.75, Loss2=0.0267, LossMSE=3.1086, LossGram=3.1866,Loss_Full=0.3569, Time=0.2546
0110 00304 Loss1=0.0150, Lambda=2.75, Loss2=0.0264, LossMSE=2.5781, LossGram=3.4808,Loss_Full=0.3443, Time=0.2425
0110 00305 Loss1=0.0173, Lambda=2.75, Loss2=0.0268, LossMSE=3.0081, LossGram=3.0725,Loss_Full=0.3481, Time=0.2524
0110 00306 Loss1=0.0162, Lambda=2.75, Loss2=0.0263, LossMSE=2.8015, LossGram=3.3187,Loss_Full=0.3485, Time=0.2397
0110 00307 Loss1=0.0190, Lambda=2.75, Loss2=0.0267, LossMSE=3.4242, LossGram=2.7494,Loss_Full=0.3543, Time=0.2591
0110 00308 Loss1=0.0157, Lambda=2.75, Loss2=0.0263, LossMSE=2.6682, LossGram=3.1861,Loss_Full=0.3347, Time=0.2485
0110 00309 Loss1=0.0143, Lambda=2.75, Loss2=0.0262, LossMSE=2.7883, LossGram=3.4920,Loss_Full=0.3546, Time=0.2426
0110 00310 Loss1=0.0156, Lambda=2.75, Loss2=0.0268, LossMSE=3.2175, LossGram=3.5226,Loss_Full=0.3794, Time=0.2388
0110 00311 Loss1=0.0152, Lambda=2.75, Loss2=0.0264, LossMSE=3.0699, LossGram=3.3879,Loss_Full=0.3645, Time=0.2519
0110 00312 Loss1=0.0167, Lambda=2.75, Loss2=0.0266, LossMSE=3.3467, LossGram=2.8185,Loss_Full=0.3515, Time=0.2574
0110 00313 Loss1=0.0153, Lambda=2.75, Loss2=0.0266, LossMSE=3.1424, LossGram=3.2825,Loss_Full=0.3631, Time=0.2381
