 lamda =0.06


 Loss2=0.0267, LossMSE=3.3019, LossGram=3.3932,Loss_Full=0.4440, Time=0.2503
0110 00251 Loss1=0.0151, Lambda=2.75, Loss2=0.0265, LossMSE=3.0168, LossGram=3.5889,Loss_Full=0.4379, Time=0.2405
0110 00252 Loss1=0.0179, Lambda=2.75, Loss2=0.0272, LossMSE=2.9704, LossGram=3.1769,Loss_Full=0.4139, Time=0.2628
0110 00253 Loss1=0.0143, Lambda=2.75, Loss2=0.0262, LossMSE=2.8827, LossGram=3.5429,Loss_Full=0.4261, Time=0.2583
0110 00254 Loss1=0.0182, Lambda=2.75, Loss2=0.0267, LossMSE=3.2970, LossGram=2.8417,Loss_Full=0.4132, Time=0.2375
0110 00255 Loss1=0.0157, Lambda=2.75, Loss2=0.0267, LossMSE=3.1665, LossGram=3.0269,Loss_Full=0.4140, Time=0.2444
0110 00256 Loss1=0.0165, Lambda=2.75, Loss2=0.0267, LossMSE=3.3213, LossGram=2.9096,Loss_Full=0.4171, Time=0.2535
0110 00257 Loss1=0.0176, Lambda=2.75, Loss2=0.0268, LossMSE=3.3010, LossGram=3.2239,Loss_Full=0.4359, Time=0.2495
0110 00258 Loss1=0.0146, Lambda=2.75, Loss2=0.0263, LossMSE=3.1277, LossGram=3.2250,Loss_Full=0.4222, Time=0.2511
0110 00259 Loss1=0.0166, Lambda=2.75, Loss2=0.0271, LossMSE=3.3847, LossGram=3.1564,Loss_Full=0.4362, Time=0.2537
0110 00260 Loss1=0.0170, Lambda=2.75, Loss2=0.0266, LossMSE=3.2947, LossGram=3.0351,Loss_Full=0.4234, Time=0.2582
0110 00261 Loss1=0.0169, Lambda=2.75, Loss2=0.0264, LossMSE=3.4370, LossGram=2.8321,Loss_Full=0.4195, Time=0.2553
0110 00262 Loss1=0.0169, Lambda=2.75, Loss2=0.0260, LossMSE=2.7049, LossGram=3.1035,Loss_Full=0.3914, Time=0.2296
0110 00263 Loss1=0.0122, Lambda=2.75, Loss2=0.0262, LossMSE=2.7662, LossGram=3.8308,Loss_Full=0.4342, Time=0.2453
0110 00264 Loss1=0.0148, Lambda=2.75, Loss2=0.0264, LossMSE=3.0575, LossGram=3.1081,Loss_Full=0.4112, Time=0.2568
0110 00265 Loss1=0.0158, Lambda=2.75, Loss2=0.0263, LossMSE=2.8050, LossGram=3.2240,Loss_Full=0.4038, Time=0.2457
0110 00266 Loss1=0.0165, Lambda=2.75, Loss2=0.0263, LossMSE=3.2125, LossGram=2.7714,Loss_Full=0.4018, Time=0.2367
0110 00267 Loss1=0.0175, Lambda=2.75, Loss2=0.0266, LossMSE=3.0902, LossGram=2.9061,Loss_Full=0.4038, Time=0.2474
0110 00268 Loss1=0.0170, Lambda=2.75, Loss2=0.0266, LossMSE=3.1900, LossGram=2.7588,Loss_Full=0.4005, Time=0.2572
0110 00269 Loss1=0.0160, Lambda=2.75, Loss2=0.0263, LossMSE=2.9256, LossGram=3.3203,Loss_Full=0.4170, Time=0.2314
0110 00270 Loss1=0.0182, Lambda=2.75, Loss2=0.0269, LossMSE=3.2576, LossGram=3.1437,Loss_Full=0.4291, Time=0.2572
