lamda3=0.1

5, Loss2=0.0267, LossMSE=3.2610, LossGram=3.7285,Loss_Full=0.7402, Time=0.2415
0110 00251 Loss1=0.0161, Lambda=2.75, Loss2=0.0269, LossMSE=3.0103, LossGram=3.1743,Loss_Full=0.6615, Time=0.2415
0110 00252 Loss1=0.0158, Lambda=2.75, Loss2=0.0266, LossMSE=3.1457, LossGram=3.1188,Loss_Full=0.6689, Time=0.2366
0110 00253 Loss1=0.0163, Lambda=2.75, Loss2=0.0265, LossMSE=3.2362, LossGram=3.1790,Loss_Full=0.6844, Time=0.2541
0110 00254 Loss1=0.0151, Lambda=2.75, Loss2=0.0266, LossMSE=3.1913, LossGram=3.2334,Loss_Full=0.6841, Time=0.2409
0110 00255 Loss1=0.0169, Lambda=2.75, Loss2=0.0267, LossMSE=3.2080, LossGram=2.6134,Loss_Full=0.6257, Time=0.2528
0110 00256 Loss1=0.0173, Lambda=2.75, Loss2=0.0270, LossMSE=3.1747, LossGram=3.1673,Loss_Full=0.6785, Time=0.2546
0110 00257 Loss1=0.0170, Lambda=2.75, Loss2=0.0267, LossMSE=3.2656, LossGram=2.8035,Loss_Full=0.6507, Time=0.2438
0110 00258 Loss1=0.0164, Lambda=2.75, Loss2=0.0265, LossMSE=2.9896, LossGram=2.9998,Loss_Full=0.6418, Time=0.2435


0110 00259 Loss1=0.0187, Lambda=2.75, Loss2=0.0268, LossMSE=3.4980, LossGram=2.6406,Loss_Full=0.6593, Time=0.2546
0110 00260 Loss1=0.0148, Lambda=2.75, Loss2=0.0266, LossMSE=3.0793, LossGram=3.2856,Loss_Full=0.6779, Time=0.2415
0110 00261 Loss1=0.0144, Lambda=2.75, Loss2=0.0268, LossMSE=3.1233, LossGram=3.4488,Loss_Full=0.6984, Time=0.2529
0110 00262 Loss1=0.0187, Lambda=2.75, Loss2=0.0265, LossMSE=3.0156, LossGram=2.6622,Loss_Full=0.6130, Time=0.2430
0110 00263 Loss1=0.0142, Lambda=2.75, Loss2=0.0266, LossMSE=3.1193, LossGram=3.2438,Loss_Full=0.6772, Time=0.2611
0110 00264 Loss1=0.0187, Lambda=2.75, Loss2=0.0269, LossMSE=3.2699, LossGram=2.8463,Loss_Full=0.6572, Time=0.2520
0110 00265 Loss1=0.0145, Lambda=2.75, Loss2=0.0267, LossMSE=2.8336, LossGram=3.6210,Loss_Full=0.6867, Time=0.2243
0110 00266 Loss1=0.0171, Lambda=2.75, Loss2=0.0269, LossMSE=3.2558, LossGram=2.7345,Loss_Full=0.6430, Time=0.2560
0110 00267 Loss1=0.0158, Lambda=2.75, Loss2=0.0267, LossMSE=3.0177, LossGram=3.4344,Loss_Full=0.6877, Time=0.2559
0110 00268 Loss1=0.0157, Lambda=2.75, Loss2=0.0266, LossMSE=3.2283, LossGram=3.2897,Loss_Full=0.6941, Time=0.2413
0110 00269 Loss1=0.0165, Lambda=2.75, Loss2=0.0266, LossMSE=3.1019, LossGram=3.1806,Loss_Full=0.6713, Time=0.2411
0110 00270 Loss1=0.0171, Lambda=2.75, Loss2=0.0266, LossMSE=3.1239, LossGram=3.0344,Loss_Full=0.6596, Time=0.2405
0110 00271 Loss1=0.0169, Lambda=2.75, Loss2=0.0265, LossMSE=3.1200, LossGram=2.8353,Loss_Full=0.6389, Time=0.2324
0110 00272 Loss1=0.0155, Lambda=2.75, Loss2=0.0267, LossMSE=3.1269, LossGram=3.1405,Loss_Full=0.6690, Time=0.2620
0110 00273 Loss1=0.0145, Lambda=2.75, Loss2=0.0265, LossMSE=3.0998, LossGram=3.3353,Loss_Full=0.6845, Time=0.2559
0110 00274 Loss1=0.0173, Lambda=2.75, Loss2=0.0263, LossMSE=2.8193, LossGram=2.9588,Loss_Full=0.6215, Time=0.2564
0110 00275 Loss1=0.0145, Lambda=2.75, Loss2=0.0264, LossMSE=2.7071, LossGram=3.6100,Loss_Full=0.6726, Time=0.2527
0110 00276 Loss1=0.0150, Lambda=2.75, Loss2=0.0264, LossMSE=2.8377, LossGram=3.4101,Loss_Full=0.6662, Time=0.2595
0110 00277 Loss1=0.0152, Lambda=2.75, Loss2=0.0268, LossMSE=3.2980, LossGram=3.2100,Loss_Full=0.6928, Time=0.2501
0110 00278 Loss1=0.0155, Lambda=2.75, Loss2=0.0264, LossMSE=3.0520, LossGram=3.2212,Loss_Full=0.6693, Time=0.2394
0110 00279 Loss1=0.0180, Lambda=2.75, Loss2=0.0267, LossMSE=3.0544, LossGram=2.7900,Loss_Full=0.6292, Time=0.2554
